                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.2362,                0.18882,                 1.0192,                0.46868,                0.56106,                0.51183,                0.47612,                0.30757,                0.46056,                 1.5432,               0.001585,               0.001585,               0.001585
                     87,                0.23479,                0.18788,                 1.0164,                0.46825,                0.56201,                0.51151,                 0.4759,                0.30748,                0.46076,                 1.5444,               0.001486,               0.001486,               0.001486
                     88,                0.23357,                0.18712,                 1.0146,                0.46784,                 0.5603,                0.51164,                0.47598,                0.30749,                0.46099,                 1.5459,               0.001387,               0.001387,               0.001387
                     89,                0.23249,                0.18571,                 1.0143,                0.46716,                 0.5606,                0.51163,                  0.476,                0.30751,                0.46129,                 1.5468,               0.001288,               0.001288,               0.001288
                     90,                0.23082,                0.18387,                 1.0114,                0.46671,                0.56028,                0.51162,                0.47602,                0.30755,                0.46149,                 1.5478,               0.001189,               0.001189,               0.001189
                     91,                0.22046,                0.17458,                 1.0027,                0.46614,                 0.5594,                0.51178,                0.47608,                0.30763,                 0.4617,                 1.5489,                0.00109,                0.00109,                0.00109
                     92,                0.21746,                0.17147,                 1.0006,                0.46639,                0.55983,                0.51181,                0.47602,                0.30761,                0.46212,                 1.5498,               0.000991,               0.000991,               0.000991
                     93,                0.21567,                0.17011,                 0.9974,                0.46504,                0.55965,                 0.5119,                 0.4761,                0.30775,                0.46243,                 1.5507,               0.000892,               0.000892,               0.000892
                     94,                0.21372,                0.16839,                0.99764,                 0.4647,                0.55843,                0.51167,                0.47591,                 0.3077,                0.46253,                 1.5523,               0.000793,               0.000793,               0.000793
                     95,                0.21172,                0.16628,                0.99674,                0.46368,                0.55757,                0.51145,                0.47569,                0.30776,                0.46302,                 1.5536,               0.000694,               0.000694,               0.000694
                     96,                0.21066,                0.16512,                0.99298,                0.46331,                 0.5565,                0.51114,                0.47554,                0.30772,                0.46344,                  1.555,               0.000595,               0.000595,               0.000595
                     97,                0.20863,                0.16333,                 0.9934,                0.46263,                0.55513,                0.51091,                0.47521,                0.30779,                0.46415,                 1.5567,               0.000496,               0.000496,               0.000496
                     98,                0.20758,                0.16164,                0.99101,                0.46292,                0.55486,                0.51071,                0.47504,                0.30791,                0.46486,                 1.5584,               0.000397,               0.000397,               0.000397
                     99,                0.20604,                0.15968,                0.98971,                0.46166,                 0.5536,                0.51053,                0.47486,                0.30802,                0.46561,                 1.5599,               0.000298,               0.000298,               0.000298
                    100,                0.20457,                 0.1583,                0.98965,                0.46138,                0.55276,                0.51023,                0.47461,                0.30807,                0.46626,                 1.5616,               0.000199,               0.000199,               0.000199
